"temperature_diff_fall","blk","nov_germ","pop","dam","sire","nov_size","mar_surv","mar_size","fruit_count","total_est_seeds","temperature_diff_annual","precip_diff_spring","first_fl_julian","last_fl_julian"
-1.4869125573774,1,0,"AR","AR11","AR06",NA,0,NA,0,0,-0.641963376758893,28.6254166666667,NA,NA
-1.4869125573774,1,1,"AR","AR43","AR30",1,0,NA,0,0,-0.641963376758893,28.6254166666667,NA,NA
-0.0420576103399504,1,1,"AQ","AQ15.1","AQ53.3",3,1,4,1,29,0.100867327730135,0.82075,169,169
0.67834247083026,1,0,"BN","BN08","BN23",NA,0,NA,0,0,0.771337408031165,7.8483333333333,NA,NA
-1.4869125573774,1,1,"AR","AR40","AR50",4,0,NA,0,0,-0.641963376758893,28.6254166666667,NA,NA
1.66500674710466,1,1,"BB","BB15","BB40",NA,1,6,NA,NA,1.57928002067038,12.0278333333333,NA,NA
0.697264799416338,1,1,"AD","AD57.1","AD72.1",2,0,NA,0,0,0.650124776131934,6.504,NA,NA
-0.693526351660861,1,0,"AX","AX19","AX30",NA,0,NA,0,0,-1.47343268247347,23.0090833333333,NA,NA
-1.30174405621358,1,0,"AC","AC23","AC08",NA,0,NA,0,0,-1.16308459944283,17.9914166666667,NA,NA
0.697264799416338,1,1,"AD","AD76.2","AD67.2",3,1,8,0,0,0.650124776131934,6.504,NA,NA
-1.4869125573774,1,1,"AR","AR02","AR37",4,1,10,2,62,-0.641963376758893,28.6254166666667,161,169
1.59877859705336,1,0,"BG","BG46","BG50",NA,0,NA,0,0,1.37611712902688,27.69175,NA,NA
-1.59233695949987,1,1,"AS","AS32","AS22",5,1,6,0,0,-0.582039452406355,31.9469166666667,NA,NA
1.9434352962999,1,1,"BC","BC68","BC63",3,0,NA,0,0,1.81169988714482,13.35525,NA,NA
1.18789374775554,1,1,"AY","AY10","AY37",2,0,NA,0,0,1.07563886883077,22.536,NA,NA
