genotype,concentration,length
Ber-0,0.2,7.74
Br-0,0.2,9.41
Rsch-0,0.2,6.81
Se-0,0.2,NA
Col-0,0.2,10.09
phyB-9,0.2,9.76
Ber-0,0.1,9.96
Br-0,0.1,9.4
Rsch-0,0.1,5.64
Se-0,0.1,NA
Col-0,0.1,10.16
phyB-9,0.1,10.63
Ber-0,0.01,9.79
Br-0,0.01,10.58
Rsch-0,0.01,9.51
Se-0,0.01,11.96
Col-0,0.01,11.38
phyB-9,0.01,10.26
Ber-0,0,11.17
Br-0,0,8.59
Rsch-0,0,9.84
Se-0,0,13.6
Col-0,0,12.68
phyB-9,0,12.59
Ber-0,37,4.61
Br-0,37,6.81
Rsch-0,37,3.7
Se-0,37,7.63
Col-0,37,4.48
phyB-9,37,13.53
Ber-0,17,5.92
Br-0,17,8.26
Rsch-0,17,4.1
Se-0,17,10.17
Col-0,17,6.24
phyB-9,17,10.81
Ber-0,3.3,5.12
Br-0,3.3,8.15
Rsch-0,3.3,4.85
Se-0,3.3,9.93
Col-0,3.3,6.32
phyB-9,3.3,12.47
Ber-0,1.4,5.57
Br-0,1.4,6.42
Rsch-0,1.4,4.12
Se-0,1.4,10.59
Col-0,1.4,2.63
phyB-9,1.4,9.68
Ber-0,0.2,7.85
Br-0,0.2,11.68
Rsch-0,0.2,5.64
Se-0,0.2,NA
Col-0,0.2,8.47
phyB-9,0.2,13.5
Ber-0,0.1,9.21
Br-0,0.1,13.35
Rsch-0,0.1,8.29
Se-0,0.1,NA
Col-0,0.1,8.81
phyB-9,0.1,13.05
Ber-0,0.01,9.69
Br-0,0.01,8.98
Rsch-0,0.01,10.18
Se-0,0.01,10.18
Col-0,0.01,12.17
phyB-9,0.01,8.33
Ber-0,0,11.79
Br-0,0,11.01
Rsch-0,0,9.93
Se-0,0,NA
Col-0,0,10.56
phyB-9,0,11.87
Ber-0,37,4.53
Br-0,37,7.5
Rsch-0,37,5.96
Se-0,37,7.75
Col-0,37,3.14
phyB-9,37,12.58
Ber-0,17,3.86
Br-0,17,8.72
Rsch-0,17,4.46
Se-0,17,8.41
Col-0,17,7.31
phyB-9,17,12.53
Ber-0,3.3,4.91
Br-0,3.3,8.05
Rsch-0,3.3,4.48
Se-0,3.3,NA
Col-0,3.3,5.45
phyB-9,3.3,12.82
Ber-0,1.4,6.62
Br-0,1.4,8.43
Rsch-0,1.4,3.96
Se-0,1.4,NA
Col-0,1.4,3.04
phyB-9,1.4,14.45
Ber-0,0.2,7.39
Br-0,0.2,11.49
Rsch-0,0.2,6.48
Se-0,0.2,NA
Col-0,0.2,7.4
phyB-9,0.2,12.06
Ber-0,0.1,NA
Br-0,0.1,8.77
Rsch-0,0.1,7.69
Se-0,0.1,NA
Col-0,0.1,7.25
phyB-9,0.1,NA
Ber-0,0.01,11.33
Br-0,0.01,10.61
Rsch-0,0.01,8.09
Se-0,0.01,9.23
Col-0,0.01,NA
phyB-9,0.01,13.25
Ber-0,0,12.61
Br-0,0,12.47
Rsch-0,0,10.83
Se-0,0,NA
Col-0,0,11.54
phyB-9,0,12.1
Ber-0,37,5.02
Br-0,37,9.65
Rsch-0,37,4.4
Se-0,37,9.26
Col-0,37,3.31
phyB-9,37,12.07
Ber-0,17,NA
Br-0,17,7.22
Rsch-0,17,4.9
Se-0,17,NA
Col-0,17,5.76
phyB-9,17,11.23
Ber-0,3.3,NA
Br-0,3.3,10.66
Rsch-0,3.3,4.43
Se-0,3.3,NA
Col-0,3.3,4.97
phyB-9,3.3,11.43
Ber-0,1.4,6.72
Br-0,1.4,6.03
Rsch-0,1.4,4.58
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,13.66
Ber-0,0.2,8.85
Br-0,0.2,9.01
Rsch-0,0.2,6.3
Se-0,0.2,NA
Col-0,0.2,5.93
phyB-9,0.2,10.57
Ber-0,0.1,NA
Br-0,0.1,10.11
Rsch-0,0.1,7.75
Se-0,0.1,NA
Col-0,0.1,6.64
phyB-9,0.1,13.28
Ber-0,0.01,11.34
Br-0,0.01,8.46
Rsch-0,0.01,7.25
Se-0,0.01,9.29
Col-0,0.01,NA
phyB-9,0.01,8.81
Ber-0,0,13.74
Br-0,0,12.85
Rsch-0,0,10.35
Se-0,0,NA
Col-0,0,10.86
phyB-9,0,12.7
Ber-0,37,NA
Br-0,37,8.38
Rsch-0,37,3.67
Se-0,37,10.61
Col-0,37,4.1
phyB-9,37,11.81
Ber-0,17,NA
Br-0,17,10.02
Rsch-0,17,5.51
Se-0,17,NA
Col-0,17,3.14
phyB-9,17,14.8
Ber-0,3.3,NA
Br-0,3.3,11.55
Rsch-0,3.3,4.1
Se-0,3.3,NA
Col-0,3.3,4.56
phyB-9,3.3,14.61
