genotype,concentration,length
bzr22-1,0.04,8.5
bzr22-1,0.01,11.1
Col-0,0,11.64
Col-0,25,1.75
Col-0,10,1.7
Col-0,2.5,2.18
Col-0,0.63,2.99
Col-0,0.16,7.72
Col-0,0.04,11.05
Col-0,0.01,10.83
Gie-0,0,12
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.72
Gie-0,0.63,5.08
Gie-0,0.16,7.63
Gie-0,0.04,10.89
Gie-0,0.01,12.43
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,3.97
RLD1,0,11.7
RLD1,25,1.15
RLD1,10,1.12
RLD1,2.5,2.38
RLD1,0.63,2.85
RLD1,0.16,6.55
RLD1,0.04,13.32
RLD1,0.01,9.46
Se-0,0,13.18
Se-0,25,NA
Se-0,10,1.77
Se-0,2.5,3.06
Se-0,0.63,6.7
Se-0,0.16,10.43
Se-0,0.04,10.49
Se-0,0.01,12.56
bzr22-1,0,11.88
bzr22-1,25,4.28
bzr22-1,10,NA
bzr22-1,2.5,6
bzr22-1,0.63,8.06
bzr22-1,0.16,NA
bzr22-1,0.04,8.99
bzr22-1,0.01,5.35
Col-0,0,7.9
Col-0,25,1.71
Col-0,10,1.55
Col-0,2.5,2.88
Col-0,0.63,3.69
Col-0,0.16,8.73
Col-0,0.04,6.39
Col-0,0.01,11.16
Gie-0,0,12.17
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.51
Gie-0,0.63,4.81
Gie-0,0.16,6.68
Gie-0,0.04,9.87
Gie-0,0.01,10.67
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,9.79
RLD1,0,13.29
RLD1,25,1.14
RLD1,10,1.36
RLD1,2.5,2.38
RLD1,0.63,4.15
RLD1,0.16,4.82
RLD1,0.04,11.82
RLD1,0.01,13.56
Se-0,0,10.88
Se-0,25,NA
Se-0,10,1.99
Se-0,2.5,4.09
Se-0,0.63,5.52
Se-0,0.16,5.8
Se-0,0.04,8.89
Se-0,0.01,14.77
bzr22-1,0,12.44
bzr22-1,25,5.29
bzr22-1,10,NA
bzr22-1,2.5,5.65
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,8.41
bzr22-1,0.01,5.43
Col-0,0,12.29
Col-0,25,1.77
Col-0,10,1.97
Col-0,2.5,3.14
Col-0,0.63,4.18
Col-0,0.16,9.12
Col-0,0.04,8.65
Col-0,0.01,8.5
Gie-0,0,14.98
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.71
Gie-0,0.63,4.15
Gie-0,0.16,6.65
Gie-0,0.04,10.13
Gie-0,0.01,12.52
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,6.03
RLD1,0,14.68
RLD1,25,1.06
RLD1,10,1.24
RLD1,2.5,2.95
RLD1,0.63,6.7
RLD1,0.16,6.55
RLD1,0.04,9.95
RLD1,0.01,11.67
Se-0,0,8.96
Se-0,25,NA
Se-0,10,1.86
Se-0,2.5,3.2
Se-0,0.63,5
Se-0,0.16,5.97
Se-0,0.04,8.56
Se-0,0.01,11.34
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,6.99
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,8.19
bzr22-1,0.01,11.74
Col-0,0,9.46
Col-0,25,1.47
Col-0,10,1.8
Col-0,2.5,2.8
Col-0,0.63,4.63
Col-0,0.16,6.11
Col-0,0.04,8.8
Col-0,0.01,9.81
Gie-0,0,13.19
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,3.65
Gie-0,0.16,6.88
Gie-0,0.04,13.89
Gie-0,0.01,10.7
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,5.58
RLD1,0,11.31
