genotype,concentration,length
Lm-2,19,2.03
Kas1-1,19,1.74
Or-0,19,0.91
Pi-0,19,0.56
Col-0,19,0.93
phyA 211,19,11.47
Lm-2,4.9,2.8
Kas1-1,4.9,1.61
Or-0,4.9,1.08
Pi-0,4.9,0.75
Col-0,4.9,0.9
phyA 211,4.9,11.26
Lm-2,1.2,9.72
Kas1-1,1.2,2.97
Or-0,1.2,1.24
Pi-0,1.2,1.17
Col-0,1.2,1.38
phyA 211,1.2,10.43
Lm-2,0.44,9.64
Kas1-1,0.44,6.31
Or-0,0.44,2.38
Pi-0,0.44,3.53
Col-0,0.44,2.25
phyA 211,0.44,14.83
Lm-2,0.14,9.86
Kas1-1,0.14,8.95
Or-0,0.14,6.44
Pi-0,0.14,6.55
Col-0,0.14,6.6
phyA 211,0.14,9.27
Lm-2,0.03,11.31
Kas1-1,0.03,13.06
Or-0,0.03,9.55
Pi-0,0.03,10.55
Col-0,0.03,8.71
phyA 211,0.03,13.21
Lm-2,0.01,11.92
Kas1-1,0.01,12.18
Or-0,0.01,11.18
Pi-0,0.01,12.92
Col-0,0.01,11.46
phyA 211,0.01,7.9
Lm-2,0,13.85
Kas1-1,0,12.24
Or-0,0,12.63
Pi-0,0,12.46
Col-0,0,13.41
phyA 211,0,12.67
Lm-2,19,2.03
Kas1-1,19,1.71
Or-0,19,0.93
Pi-0,19,0.86
Col-0,19,0.73
phyA 211,19,10.99
Lm-2,4.9,3.07
Kas1-1,4.9,2.2
Or-0,4.9,0.8
Pi-0,4.9,0.67
Col-0,4.9,1.05
phyA 211,4.9,9.74
Lm-2,1.2,10.07
Kas1-1,1.2,2.18
Or-0,1.2,0.94
Pi-0,1.2,1.94
Col-0,1.2,1.09
phyA 211,1.2,11.2
Lm-2,0.44,12.15
Kas1-1,0.44,5.79
Or-0,0.44,2.02
Pi-0,0.44,3.38
Col-0,0.44,2.81
phyA 211,0.44,11.65
Lm-2,0.14,12.4
Kas1-1,0.14,8.38
Or-0,0.14,6.83
Pi-0,0.14,6.91
Col-0,0.14,6.55
phyA 211,0.14,8.22
Lm-2,0.03,11.03
Kas1-1,0.03,13.79
Or-0,0.03,10.16
Pi-0,0.03,9.2
Col-0,0.03,10.9
phyA 211,0.03,9.92
Lm-2,0.01,14.32
Kas1-1,0.01,9.45
Or-0,0.01,8.9
Pi-0,0.01,9.78
Col-0,0.01,5.83
phyA 211,0.01,13.02
Lm-2,0,15.63
Kas1-1,0,6.44
Or-0,0,11.31
Pi-0,0,9.23
Col-0,0,6.7
phyA 211,0,12.75
Lm-2,19,2.44
Kas1-1,19,1.79
Or-0,19,0.65
Pi-0,19,0.58
Col-0,19,0.99
phyA 211,19,12.18
Lm-2,4.9,6.81
Kas1-1,4.9,2.4
Or-0,4.9,1.05
Pi-0,4.9,0.83
Col-0,4.9,1.22
phyA 211,4.9,13.34
Lm-2,1.2,7.02
Kas1-1,1.2,3.06
Or-0,1.2,1.17
Pi-0,1.2,1.08
Col-0,1.2,0.83
phyA 211,1.2,7.49
Lm-2,0.44,13.39
Kas1-1,0.44,5.81
Or-0,0.44,2.29
Pi-0,0.44,2.65
Col-0,0.44,3.59
phyA 211,0.44,8.97
Lm-2,0.14,13.63
Kas1-1,0.14,12.27
Or-0,0.14,6.7
Pi-0,0.14,6.72
Col-0,0.14,6.96
phyA 211,0.14,10.81
Lm-2,0.03,12.42
Kas1-1,0.03,10.67
Or-0,0.03,8.23
Pi-0,0.03,11.36
Col-0,0.03,8.25
phyA 211,0.03,NA
Lm-2,0.01,9.34
Kas1-1,0.01,8.79
Or-0,0.01,13.6
Pi-0,0.01,11.25
Col-0,0.01,8.22
phyA 211,0.01,8.97
Lm-2,0,14.5
Kas1-1,0,9.05
Or-0,0,11.19
Pi-0,0,12.37
Col-0,0,8.21
phyA 211,0,11.93
Lm-2,19,1.33
Kas1-1,19,1.88
Or-0,19,0.74
Pi-0,19,0.65
Col-0,19,0.9
phyA 211,19,9.05
Lm-2,4.9,4.69
Kas1-1,4.9,NA
Or-0,4.9,0.66
Pi-0,4.9,0.69
Col-0,4.9,0.92
phyA 211,4.9,10.93
Lm-2,1.2,9.42
Kas1-1,1.2,2.53
Or-0,1.2,0.95
Pi-0,1.2,1.16
Col-0,1.2,1.38
phyA 211,1.2,9.12
Lm-2,0.44,12.72
Kas1-1,0.44,5.34
Or-0,0.44,2.37
Pi-0,0.44,3.23
Col-0,0.44,2.88
phyA 211,0.44,10.17
Lm-2,0.14,11.57
Kas1-1,0.14,10.36
Or-0,0.14,5.8
Pi-0,0.14,6.18
Col-0,0.14,8.59
phyA 211,0.14,13.53
Lm-2,0.03,13.82
Kas1-1,0.03,11.67
Or-0,0.03,9.98
Pi-0,0.03,11.92
Col-0,0.03,10.33
phyA 211,0.03,NA
Lm-2,0.01,12.34
Kas1-1,0.01,9.15
Or-0,0.01,12
Pi-0,0.01,12.36
Col-0,0.01,10.48
phyA 211,0.01,7.28
Lm-2,0,13
Kas1-1,0,11.4
Or-0,0,9.81
Pi-0,0,12
Col-0,0,15.15
phyA 211,0,10.78
Lm-2,19,1.54
Kas1-1,19,1.35
Or-0,19,0.71
Pi-0,19,0.68
Col-0,19,0.84
phyA 211,19,10.68
Lm-2,4.9,4.84
Kas1-1,4.9,NA
Or-0,4.9,0.76
Pi-0,4.9,1.12
Col-0,4.9,0.92
phyA 211,4.9,9.28
Lm-2,1.2,8.93
Kas1-1,1.2,3.39
Or-0,1.2,0.89
Pi-0,1.2,1.89
Col-0,1.2,1.93
phyA 211,1.2,7.95
Lm-2,0.44,11.68
Kas1-1,0.44,NA
Or-0,0.44,2.45
Pi-0,0.44,2.32
Col-0,0.44,3.16
phyA 211,0.44,11.78
Lm-2,0.14,12.28
Kas1-1,0.14,9.11
Or-0,0.14,6.14
Pi-0,0.14,8.17
Col-0,0.14,7.94
phyA 211,0.14,9.96
Lm-2,0.03,12.44
Kas1-1,0.03,8.93
Or-0,0.03,7.94
Pi-0,0.03,13.67
Col-0,0.03,7.64
phyA 211,0.03,NA
Lm-2,0.01,11.88
Kas1-1,0.01,8.34
Or-0,0.01,9.48
Pi-0,0.01,9.79
Col-0,0.01,8.27
phyA 211,0.01,9.58
Lm-2,0,10.29
Kas1-1,0,9.16
Or-0,0,8.23
Pi-0,0,15.86
Col-0,0,14.57
phyA 211,0,10.4
Lm-2,19,1.49
Kas1-1,19,0.93
Or-0,19,0.64
Pi-0,19,0.73
Col-0,19,0.74
phyA 211,19,10.39
Lm-2,4.9,4.03
Kas1-1,4.9,NA
Or-0,4.9,0.76
Pi-0,4.9,1.08
Col-0,4.9,0.91
phyA 211,4.9,14.65
Lm-2,1.2,10.18
Kas1-1,1.2,3.32
Or-0,1.2,1.21
Pi-0,1.2,1.52
Col-0,1.2,1.87
phyA 211,1.2,13.99
Lm-2,0.44,10.64
Kas1-1,0.44,NA
Or-0,0.44,2.48
Pi-0,0.44,4.21
Col-0,0.44,5.02
phyA 211,0.44,7.75
Lm-2,0.14,12.1
Kas1-1,0.14,6.94
Or-0,0.14,4.89
Pi-0,0.14,8.7
Col-0,0.14,6.61
phyA 211,0.14,9.23
Lm-2,0.03,11.29
Kas1-1,0.03,11.95
Or-0,0.03,10.19
Pi-0,0.03,12.3
Col-0,0.03,8.27
phyA 211,0.03,NA
Lm-2,0.01,11.7
Kas1-1,0.01,8.54
Or-0,0.01,9.12
Pi-0,0.01,10.25
Col-0,0.01,9.39
phyA 211,0.01,9.01
Lm-2,0,13.06
Kas1-1,0,12.31
Or-0,0,NA
Pi-0,0,9.34
Col-0,0,10.19
phyA 211,0,11.19
Lm-2,19,1.24
Kas1-1,19,1.74
Or-0,19,0.98
Pi-0,19,0.68
Col-0,19,0.84
phyA 211,19,11.76
Lm-2,4.9,4.38
Kas1-1,4.9,NA
Or-0,4.9,0.57
Pi-0,4.9,NA
Col-0,4.9,1.31
phyA 211,4.9,9.35
Lm-2,1.2,8.07
Kas1-1,1.2,2.11
Or-0,1.2,1.14
Pi-0,1.2,1.73
Col-0,1.2,1.46
phyA 211,1.2,10.05
Lm-2,0.44,12.22
Kas1-1,0.44,NA
Or-0,0.44,2.16
Pi-0,0.44,3.15
Col-0,0.44,2.19
phyA 211,0.44,12.25
Lm-2,0.14,11.34
Kas1-1,0.14,NA
Or-0,0.14,3.87
Pi-0,0.14,10.19
Col-0,0.14,5.86
phyA 211,0.14,NA
Lm-2,0.03,10.36
Kas1-1,0.03,11.34
Or-0,0.03,9.45
Pi-0,0.03,NA
Col-0,0.03,9.8
phyA 211,0.03,NA
Lm-2,0.01,12.61
Kas1-1,0.01,11.27
Or-0,0.01,8.62
Pi-0,0.01,11.81
Col-0,0.01,10.65
phyA 211,0.01,6.7
Lm-2,0,16.16
Kas1-1,0,10.1
Or-0,0,NA
Pi-0,0,8.11
Col-0,0,13.27
phyA 211,0,9.71
Lm-2,19,1.5
Kas1-1,19,1.99
Or-0,19,0.7
Pi-0,19,0.74
Col-0,19,1.01
phyA 211,19,7.75
Lm-2,4.9,3.61
Kas1-1,4.9,NA
Or-0,4.9,0.97
Pi-0,4.9,NA
Col-0,4.9,1.03
phyA 211,4.9,11.05
Lm-2,1.2,6.41
Kas1-1,1.2,1.54
Or-0,1.2,1.19
Pi-0,1.2,1.21
Col-0,1.2,1.01
phyA 211,1.2,9.41
Lm-2,0.44,12.13
Kas1-1,0.44,NA
Or-0,0.44,2.6
Pi-0,0.44,2.34
Col-0,0.44,3.26
phyA 211,0.44,12.66
Lm-2,0.14,13.56
Kas1-1,0.14,NA
Or-0,0.14,6.35
Pi-0,0.14,9.57
Col-0,0.14,7.6
phyA 211,0.14,NA
Lm-2,0.03,11.99
Kas1-1,0.03,NA
Or-0,0.03,9.24
Pi-0,0.03,NA
Col-0,0.03,11.13
phyA 211,0.03,NA
Lm-2,0.01,12.23
Kas1-1,0.01,10.1
Or-0,0.01,8.16
Pi-0,0.01,9.47
Col-0,0.01,10.92
phyA 211,0.01,5.09
Lm-2,0,13.17
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,9.35
Col-0,0,11.12
phyA 211,0,11.59
Lm-2,19,1.52
Kas1-1,19,1.65
Or-0,19,NA
Pi-0,19,0.88
Col-0,19,0.85
phyA 211,19,10.74
Lm-2,4.9,3.34
Kas1-1,4.9,NA
Or-0,4.9,0.82
Pi-0,4.9,NA
Col-0,4.9,1.25
phyA 211,4.9,10.55
Lm-2,1.2,9.05
Kas1-1,1.2,2.54
Or-0,1.2,1.36
Pi-0,1.2,1.11
Col-0,1.2,1.41
phyA 211,1.2,10.6
Lm-2,0.44,10.31
Kas1-1,0.44,NA
Or-0,0.44,2.31
Pi-0,0.44,2.59
Col-0,0.44,3.59
phyA 211,0.44,10.37
Lm-2,0.14,10.04
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,8.42
Col-0,0.14,5.09
phyA 211,0.14,NA
Lm-2,0.03,13.05
Kas1-1,0.03,NA
Or-0,0.03,7.97
Pi-0,0.03,NA
Col-0,0.03,10.29
phyA 211,0.03,NA
Lm-2,0.01,12.8
Kas1-1,0.01,10.83
Or-0,0.01,9.86
Pi-0,0.01,9.89
Col-0,0.01,12.33
phyA 211,0.01,10.28
Lm-2,0,13.26
Kas1-1,0,NA
