genotype,concentration,length
Se-0,0.09,8.37
Ge-0,0.09,8.01
Te-0,0.09,8.2
Mt-0,0.09,8.98
Col-0,0.09,6.05
hy4,0.09,3.98
Se-0,0,NA
Ge-0,0,15.6
Te-0,0,10.92
Mt-0,0,12.18
Col-0,0,7.95
hy4,0,10.62
Se-0,37,5.82
Ge-0,37,5.76
Te-0,37,NA
Mt-0,37,4.13
Col-0,37,3.74
hy4,37,9.8
Se-0,21,NA
Ge-0,21,5.51
Te-0,21,2.67
Mt-0,21,4.71
Col-0,21,3.62
hy4,21,5.71
Se-0,3.9,8.62
Ge-0,3.9,8.02
Te-0,3.9,5.45
Mt-0,3.9,4.27
Col-0,3.9,2.99
hy4,3.9,5.79
Se-0,0.74,8.8
Ge-0,0.74,8.02
Te-0,0.74,8.79
Mt-0,0.74,6.16
Col-0,0.74,9.25
hy4,0.74,5.62
Se-0,0.12,NA
Ge-0,0.12,10
Te-0,0.12,9.96
Mt-0,0.12,8.59
Col-0,0.12,8.86
hy4,0.12,7.08
Se-0,0.09,10.67
Ge-0,0.09,9.48
Te-0,0.09,9.36
Mt-0,0.09,9.18
Col-0,0.09,7.52
hy4,0.09,5.9
Se-0,0,NA
Ge-0,0,15.78
Te-0,0,12.53
Mt-0,0,9.24
Col-0,0,7.2
hy4,0,9.63
Se-0,37,6.95
Ge-0,37,5.45
Te-0,37,NA
Mt-0,37,3.47
Col-0,37,3.4
hy4,37,6.88
Se-0,21,NA
Ge-0,21,6.03
Te-0,21,2.55
Mt-0,21,4.56
Col-0,21,2.24
hy4,21,7.17
Se-0,3.9,NA
Ge-0,3.9,5.57
Te-0,3.9,4.26
Mt-0,3.9,4.34
Col-0,3.9,3.83
hy4,3.9,5.2
Se-0,0.74,6.36
Ge-0,0.74,8.02
Te-0,0.74,8.26
Mt-0,0.74,7.87
Col-0,0.74,7.96
hy4,0.74,5.38
Se-0,0.12,NA
Ge-0,0.12,6.95
Te-0,0.12,8.69
Mt-0,0.12,9.83
Col-0,0.12,8.51
hy4,0.12,7.43
Se-0,0.09,11.66
Ge-0,0.09,10.01
Te-0,0.09,8.73
Mt-0,0.09,9.23
Col-0,0.09,7.81
hy4,0.09,6.68
Se-0,0,NA
Ge-0,0,14.73
Te-0,0,NA
Mt-0,0,10.42
Col-0,0,14.08
hy4,0,12.66
Se-0,37,4.62
Ge-0,37,5.26
Te-0,37,NA
Mt-0,37,4.07
Col-0,37,3.59
hy4,37,8.77
Se-0,21,NA
Ge-0,21,5.55
Te-0,21,2.16
Mt-0,21,4.2
Col-0,21,2.41
hy4,21,3.02
Se-0,3.9,NA
Ge-0,3.9,5.94
Te-0,3.9,3.56
Mt-0,3.9,4.38
Col-0,3.9,3.04
hy4,3.9,4.97
Se-0,0.74,4.73
Ge-0,0.74,9.1
Te-0,0.74,6.48
Mt-0,0.74,6.39
Col-0,0.74,7.66
hy4,0.74,5.89
Se-0,0.12,NA
Ge-0,0.12,8.26
Te-0,0.12,8.75
Mt-0,0.12,8.69
Col-0,0.12,8.91
hy4,0.12,9.51
Se-0,0.09,11.58
Ge-0,0.09,8.43
Te-0,0.09,10.87
Mt-0,0.09,9.92
Col-0,0.09,9.74
hy4,0.09,6.32
Se-0,0,NA
Ge-0,0,12.62
Te-0,0,NA
Mt-0,0,9.9
Col-0,0,10
hy4,0,10.53
Se-0,37,5.11
Ge-0,37,4.53
Te-0,37,NA
Mt-0,37,3.76
Col-0,37,4.12
hy4,37,8.13
Se-0,21,NA
Ge-0,21,5.51
Te-0,21,3.78
Mt-0,21,4.48
Col-0,21,NA
hy4,21,9.25
Se-0,3.9,NA
Ge-0,3.9,7
Te-0,3.9,5.61
Mt-0,3.9,5.31
Col-0,3.9,4.27
hy4,3.9,5.66
Se-0,0.74,7.56
Ge-0,0.74,7.74
Te-0,0.74,9.25
Mt-0,0.74,9.02
Col-0,0.74,7.51
hy4,0.74,6.02
Se-0,0.12,NA
Ge-0,0.12,8.5
Te-0,0.12,10.1
Mt-0,0.12,9.27
Col-0,0.12,8.01
hy4,0.12,6.27
Se-0,0.09,9.47
Ge-0,0.09,8.98
Te-0,0.09,8.96
Mt-0,0.09,11.3
Col-0,0.09,9.46
hy4,0.09,7.06
Se-0,0,NA
Ge-0,0,10.94
Te-0,0,NA
Mt-0,0,10.37
Col-0,0,9.6
hy4,0,8.69
Se-0,37,6.96
Ge-0,37,6.21
Te-0,37,NA
Mt-0,37,3.62
Col-0,37,2.58
hy4,37,7.7
Se-0,21,NA
Ge-0,21,5.64
Te-0,21,3.3
Mt-0,21,3.55
Col-0,21,NA
hy4,21,9.76
Se-0,3.9,NA
Ge-0,3.9,6.11
Te-0,3.9,4.61
Mt-0,3.9,4.47
Col-0,3.9,4.34
hy4,3.9,5.84
